BB0080_Shopping_Arcade_Complex_P,NAM IS NOT NULL AND NAM <> '',2
BB0081_Hypermarket_Supermarket_P,NAM IS NOT NULL AND NAM <> '',2
BB0082_Retail_P,NAM IS NOT NULL AND NAM <> '',2
BB0090_Entertainment_Centre_P,NAM IS NOT NULL AND NAM <> '',2
BB0100_Restaurant_P,NAM IS NOT NULL AND NAM <> '',2
BB0999_Other_Commercial_Building_P,NAM IS NOT NULL AND NAM <> '',2
BD0020_Hospital_A,NAM IS NULL OR NAM = '',3
BD0021_Clinic_A,NAM IS NULL OR NAM = '',3
BD0030_Fire_And_Rescue_Station_A,NAM IS NULL OR NAM = '',3
BD0040_Police_Station_A,NAM IS NULL OR NAM = '',3
BD0200_Training_Centre_A,NAM IS NULL OR NAM = '',3
BD0042_Police_Cottage_and_Beat_A,NAM IS NULL OR NAM = '',3
BD0043_Detention_Centre_A,NAM IS NULL OR NAM = '',3
BD0045_Prison_A,NAM IS NULL OR NAM = '',3
BD0050_Army_Camp_A,NAM IS NULL OR NAM = '',3
BD0060_Government_Office_A,NAM IS NULL OR NAM = '',3
BD0061_Foreign_Diplomatic_Embassy_A,NAM IS NULL OR NAM = '',3
BD0070_Parliament_House_A,NAM IS NULL OR NAM = '',3
BD0071_State_Assembly_House_A,NAM IS NULL OR NAM = '',3
BD0072_Town_Hall_A,NAM IS NULL OR NAM = '',3
BD0080_Court_A,NAM IS NULL OR NAM = '',3
BD0090_Museum_A,NAM IS NULL OR NAM = '',3
BD0100_Science_Centre_A,NAM IS NULL OR NAM = '',3
BD0110_Art_Theatre_National_Theatre_A,NAM IS NULL OR NAM = '',3
BD0120_Library_A,NAM IS NULL OR NAM = '',3
BD0130_Memorial_A,NAM IS NULL OR NAM = '',3
BD0140_Palace_A,NAM IS NULL OR NAM = '',3
BD0150_Multi_Purpose_House_A,NAM IS NULL OR NAM = '',3
BD0151_Community_Hall_A,NAM IS NULL OR NAM = '',3
BD0152_Hostel_A,NAM IS NULL OR NAM = '',3
BD0153_Gallery_A,NAM IS NULL OR NAM = '',3
